"country","biofuel_electricity","hydro_electricity","nuclear_electricity","solar_electricity","wind_electricity","other_renewable_electricity","coal_electricity","gas_electricity","oil_electricity","total_electricity","population"
"Saint Lucia",0,0,0,0.009,0,0,0,0,6.638,6.647,153625
"Saint Pierre and Miquelon",0,0,0,0,0.008,0,0,0,0.873,0.881,6000
"Saint Vincent and the Grenadines",0,0.443,0,0.005,0,0,0,0,2.08,2.528,107375
"Samoa",0,0.902,0,0,0,0,0,0,1.403,2.305,174825
"Sao Tome and Principe",0,0.135,0,0,0,0,0,0,0.961,1.096,147400
"Saudi Arabia",0,0,0,0.828,0.015,0,0,2998.943,3054.695,6054.481,17385690.9090909
"Senegal",1.224,5.129,0,0.313,0,1.224,0,0,51.977,59.867,10095000
"Serbia",0.587,151.194,0,0.085,1.923,0.587,375.471,0,0,529.847,8941413.79310345
"Seychelles",0,0,0,0.018,0.021,0,0,0,6.185,6.224,81500
"Sierra Leone",0.025,1.64,0,0.022,0,0.025,0,0,1.375,3.087,5179475
"Singapore",24.057,0,0,1.479,0,26.687,0,602.81,249.759,904.792,3435000
"Slovakia",17.618,136.342,509.011,5.362,0.114,17.939,84.964,48.429,20.062,839.841,5052232.14285714
"Slovenia",4.205,119.954,166.179,2.343,0.044,4.236,103.861,9.23,0.762,410.814,1955580.64516129
"Solomon Islands",0.04,0,0,0.017,0,0.04,0,0,1.574,1.671,420650
"Somalia",0,0.01,0,0.04,0.04,0,0,0,5.964,6.054,9574000
"South & Central America",0,19309.129,549.77,48.076,330.694,1067.439,1228.435,4363.177,3700.498,30597.218,0
"South Africa",7.001,49.052,413.343,25.12,32.316,7.641,6806.972,21.314,80.056,7442.815,22815505.9669422
"South Korea",48.661,123.134,3723.121,63.864,19.939,67.192,4573.916,2187.768,780.503,11588.098,27705773.0330578
"South Sudan",0,0,0,0.019,0,0,0,0,3.872,3.891,8853142.85714286
"Spain",88.223,1045.347,2015.805,155.407,749.704,100.903,1987.211,1484.083,609.358,8236.041,31299424.892562
"Sri Lanka",0.57,134.846,0,0.892,2.574,0.57,21.037,0,98.615,259.104,17074381.8181818
"Sudan",2.541,95.871,0,0.129,0,2.541,0,17.878,45.57,164.53,27394350
"Suriname",0.03,16.711,0,0.058,0,0.03,0,0,16.913,33.742,306683.9
"Sweden",199.113,2440.165,2384.464,1.846,163.315,232.019,18.112,16.439,69.126,5524.599,7346147.00826446
"Switzerland",53.023,1250.923,872.968,14.345,1.288,61.083,0,0,17.895,2271.525,6826250
